;Nama;Spesialisasi;Fakultas;Link Scholar
130;Rahmad Dawood., S.Kom, M.Sc ;ICT4D, ICTD, M4D, mLearning, mHealth, IoT, eGovernment, Microentrepreneur;FT;https://scholar.google.co.id/citations?user=2FVGNBQAAAAJ
131;Ramzi Adriman., Dr., S.T, M. Sc ;High Performance Computing dan Computer Networking;FT;https://scholar.google.co.id/citations?user=rrAlnigAAAAJ&hl=en
132;Razali., Dr. Ir., M.Si., M.T. ;Energi, Kebijakan Energi;FT;https://scholar.google.co.id/citations?user=04NAshYAAAAJ
133;Renni Angraini., Dr., ST., M.Eng ;Urban Transport Planning, Travel Behavior, Traffic Engineering;FT;https://scholar.google.co.id/citations?user=cPy7x6IAAAAJ&hl=en
134;Reza P Munirwan., S.T., M.Sc ;Geotechnical & Earthquake Engineering;FT;https://scholar.google.co.id/citations?user=51Ze-MkAAAAJ&hl
135;Rizal Munadi., Dr. Ir., M.M., MT ;Antena, Propagasi, Teknologi Transmisi Telekomunikasi, Teknologi Nirkabel, Jaringan Komputer, Keamanan Jaringan;FT;https://scholar.google.co.id/citations?user=0hlDgjwAAAAJ&hl=en
136;Ruhdi Faisal., ST., MT ;Transportation;FT;https://scholar.google.co.id/citations?user=YYxyxMQAAAAJ&hl=id
137;Rusdha Muharar., Dr., S.T, M. Sc ;Pengolahan sinyal dan aplikasinya;FT;https://scholar.google.com/citations?user=75srT8UAAAAJ&hl=en
138;Saiful Husin., Dr. Ir., M.T. ;Manajemen Proyek, Manajemen Risiko;FT;https://scholar.google.co.id/citations?user=Pmi3-j4AAAAJ&hl=en&authuser=2
139;Samsul Rizal., Prof. Dr. Ir., M.Eng. ;Fracture Mechanics (One-point Bend Testing & Numerial Analysis);FT;https://scholar.google.co.id/citations?user=9ztKrd8AAAAJ&hl=en
140;Sangga Rima Roman Selia., S.T., M.T. ;Mathematical Geology, Geostatistics;FT;https://scholar.google.com/citations?user=ovZNd9kAAAAJ&hl=en
141;Sarwo Edhy S., Dr., S.T, M.Eng ;Sustainable energy engineering;FT;https://scholar.google.co.id/citations?user=JcgkUkUAAAAJ&hl=en
142;Sayed Muchallil., S.T., M. Sc ;Web Technology, Cyber Security, Computer Network, Network Security;FT;https://scholar.google.co.id/citations?user=_m55hT8AAAAJ&hl=en&oi=ao
143;Sofyan., Dr. Ir., M.Sc.Eng ;Highay Engineering, Transport System;FT;https://scholar.google.co.id/citations?user=Zqniz-4AAAAJ&hl=en
144;Sri Mulyati., Prof. Dr., ST, MT ;Membrane separation and engineering process;FT;https://scholar.google.com/citations?hl=en&user=OL62WPYAAAAJ&view_op=list_works&sortby=pubdate
145;Sugiarto., Dr. Eng., S.T., M. Eng.,  ;Transport Planning and Modelling, Travel behavior analysis;FT;https://scholar.google.co.id/citations?hl=en&user=5pd6R84AAAAJ
146;Suhendrayatna., Prof. Dr. Ir., M.Eng ;Teknik Kimia dan Lingkungan;FT;https://scholar.google.co.id/citations?user=-AgaXqQAAAAJ&hl=en
147;Syamsidik., Dr., S.T.M.Sc ;tsunami, community preparedness, coastal engineering;FT;https://scholar.google.com/citations?user=rXL_UoQAAAAJ&hl=en
148;Syarizal Fonna., Dr., ST, M.Sc ;Korosi, Komputasi, Particle Swarm Optimization, Inverse Analysis;FT;https://scholar.google.co.id/citations?user=EFyK-FoAAAAJ&hl=en
